lm_id,name
LMPK12112443,"Myricetin 3,7-diglucuronide"
LMPK12110550,Isoorientin 4'-O-glucoside-2''-O-(E)-caffeate
LMPK12110753,Isoscoparin 2''-(6-(E)-ferulylglucoside)
LMPK12112707,Quercetin 3-methyl ether 4'-glucoside
LMPK12112706,Quercetin 3-methyl ether 3'-glucoside
LMPK12110751,Stellarin 2
LMPK12110817,Luteolin 4'-methyl ether 7-(4G-rhamnosylneohesperidoside)
LMPK12110838,3-(3-Methylbutyl)tricetin 5-neohesperidoside
LMPK12110811,Luteolin 4'-methyl ether 7-glucuronide
LMPK12110686,"Luteolin 7,3',4'-triglucuronide"
LMPK12110771,Luteolin 3'-methyl ether 7-glucuronide
LMPK12111105,Scutellarein 5-glucuronide
LMST01160051,Withasomniferol D
LMFA07040133,Topsentolide A2
LMFA07040134,Topsentolide C2
LMFA07040135,Topsentolide C1
LMFA02000377,(Z)-Stellettic acid B
LMFA07040137,"4S-Hydroxy-5S-octyl-4,5-dihydro-3H-furan-2-one"
LMPK12111348,"Isoscutellarein 8,4'-dimethyl ether 7-glucuronide"
LMPK12112848,6-Hydroxykaempferol 4'-methyl ether 7-glucoside
LMPK12112117,Quercetin 3-sambubioside-7-rhamnoside
LMPK12110193,Cucumerin A
LMFA08020373,Oxidized macamide
LMFA08020374,Oxidized macamide
LMFA07011190,"(2Z,8Z)-10-Tigloyloxy matricaria ester"
LMFA07011191,"(2Z,8Z)-10-Angeloyloxy matricaria ester"
LMFA07011192,"(2Z, 8Z)-10-Methacryloyloxy matricaria ester"
LMPR0103540005,16-epi-pretoxin
LMPR0103540014,16-epi-Austrobuxusin B
LMFA01140098,Adiantic acid
LMPR0103540007,Austrobuxusin G
LMPR0103540008,Austrobuxusin H
LMPR0103540010,epi-Austrobuxusin G
LMPR0103540011,Austrobuxusin I
LMPR0103540012,Austrobuxusin J
LMPR0103540013,Austrobuxusin K
LMPR0103540015,Austrobuxusin L
LMPR0103540016,Austrobuxusin M
LMPR0103540017,Austrobuxusin B
LMPR0106010040,"4,4'-Diaponeurosporen-4-al"
LMFA07011193,"(2Z, 8Z)-10-Isobutyryloxy matricaria ester"
LMFA07040151,"(4Z, 8Z)-10-Tigloyloxy matricaria lactone"
LMFA07040152,"(4Z, 8Z)-10-Angeloyloxy matricaria lactone"
LMFA07040153,Mueggelone
LMFA07040154,Sacrolide A
LMFA07040156,"15,16-dihydrosacrolide A"
LMGP02050074,PE(14:0(13Me)/0:0)
LMGL02030040,"2,3-Di-O-dihydro-14,15-geranylgeranyl-sn- glycerol"
LMPR0106010044,"15-cis-4,4'-Diapophytoene"
LMPR0106010043,Staphyloxanthin
LMPR0106010042,"Glucosyl-4,4'-diaponeurosporenoate"
LMFA07040155,9-epiSacrolide A
LMFA08020291,Bacillamidin C
LMFA03000022,Ptilodene
LMFA08020285,Topostin D654
LMPR0103460001,Valerenic acid
LMPK12112339,Isorhamnetin 3-(3'''-ferulylrobinobioside)
LMPK12111264,"6-Hydroxytricetin 6,7,3',5'-tetramethyl eter 5-robinobioside"
LMFA05000757,"3,5,7-nonatriyn-1-ol"
LMPK12111707,Kaempferol 3-caffeylrobinobioside-7-rhamnoside
LMPK12112419,Myricetin 3-(4''-p-coumarylrobinobioside)-7-rhamnoside
LMPK12111922,Kaempferol 3-robinobioside-7-alpha-L-arabinofuranoside
LMPK12111961,Kaempferol 3-[2Gal-(6'''-feruloylglucosyl)-robinobioside]
LMPK12112084,Quercetin 3-(4''-(E)-p-coumarylrobinobioside)-7-rhamnoside
LMPK12111687,Kaempferol 3-(2Gal-glucosylrobinobioside)-7-rhamnoside
LMPK12110601,Tamarixetin 7-glucoside
LMFA03080011,"(+/-)11,12-EpETrE-d8"
LMST01010005,7-oxocholesterol(d7)
LMGP14010008,As-PL(17:0/16:0)
LMSP0502AA08,Gb3(d18:1/26:1(17Z))
LMSP0601AJ01,GM3(d18:1/16:0)
LMPK12112199,Quercetin 3-rhamnoside-7-glucoside
LMSP03020095,"CerPE(d18:0(17Me)/16:0(3OH,15Me))"
LMSP03030152,PI-Cer(d20:0/14:0)
LMSP01060001,Sphingosine-1-phosphocholine
LMSP0601AK05,GD3(d18:1/24:0)
LMSP0601AK07,GD3(d18:1/24:1(15Z))
LMSP0601AA08,GM4(d18:1/26:1(17Z))
LMSP03020002,CerPE(d14:1(4E)/16:0)
LMSP01060003,C17 sphingosine-1-phosphocholine
LMPR0102070051,Diffusoside C
LMSP0601AJ07,GM3(d18:1/24:1(15Z))
LMSP03030153,PI-Cer(t20:0/14:0)
LMPK12112432,Nympholide B
LMFA05000647,Cicutoxin
LMPK12113140,Herbacetin 3-rhamnoside-8-glucoside
LMSP03020020,CerPE(d16:1(4E)/18:0)
LMSP03020030,"CerPE(d14:2(4E,6E)/18:0)"
LMSP03020048,"CerPE(d16:2(4E,6E)/18:0)"
LMSP03020077,"CerPE(d15:2(4E,6E)/20:0(2OH))"
LMSP03020040,"CerPE(d14:2(4E,6E)/21:0)"
LMSP03020089,"CerPE(d16:2(4E,6E)/20:0(2OH))"
LMSP03020007,CerPE(d14:1(4E)/21:0)
LMSP03020008,CerPE(d14:1(4E)/22:0)
LMSP03020017,CerPE(d15:1(4E)/22:0)
LMFA07040136,"4S-Hydroxy-5R-octyl-4,5-dihydro-3H-furan-2-one"
LMPR0103510001,(+)-beta-Isolongibornene
LMSL03000033,"PAT16(22:1(2E)(2Me,4Me[S],6Me[S])/22:1(2E)(2Me,4Me[S],6Me[S])/25:1(2E)(2Me,4Me[S],6Me[S])/24:1(2E)(2Me,4Me[S],6Me[S]))"
LMPK12112180,Quercetin 7-rhamnoside
